Country,Cluster_Kmeans,Cluster_Hierarquico,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Bahrain,2,0,0.02921129503407984,0.34714419358550413,0.19639527656929767,0.2922606895370143,0.32551390373901645,0.10766102947971537,0.8658777120315583,0.15930599369085174,0.1953726770323283
Cyprus,0,2,0.0048685491723466385,0.25059157240696184,0.25854568054692356,0.3302060952970119,0.26763190262961145,0.0574808243230755,0.9428007889546351,0.04258675078864352,0.2917752388588228
Czech Republic,0,2,0.003894839337877312,0.3296346508847322,0.3772529521441889,0.36125233637337356,0.22261256843340754,0.02569078643378616,0.8954635108481263,0.05678233438485805,0.18678234974085847
Iraq,1,2,0.16699123661148974,0.1965621263588656,0.41019266625233064,0.1956723839661113,0.09720156602969666,0.19231124665003235,0.6923076923076924,0.5378548895899052,0.04074678578587178
Kiribati,1,2,0.2925998052580331,0.06599096507596641,0.5898073337476694,0.4589905027248826,0.009011906006061532,0.05295259218186859,0.5641025641025642,0.4242902208201892,0.012016913399956095
Lesotho,1,2,0.47273612463485876,0.1965621263588656,0.5773772529521441,0.5803008150788144,0.014237364439549484,0.07725718510304039,0.28402366863905326,0.3391167192429022,0.008962574807433498
Liberia,1,2,0.4221032132424537,0.09500677869438845,0.6208825357364823,0.5320066622933628,0.0007315641806883129,0.08945568801404677,0.5660749506903352,0.6104100946372238,0.0009163015777567795
Libya,2,0,0.06815968841285297,0.32763356029035823,0.12865133623368552,0.24166681519035083,0.23306348530038346,0.17013215044820257,0.8678500986193293,0.1987381703470032,0.11328732735828348
Myanmar,2,1,0.3008763388510224,0.0,0.009944064636420127,0.0,0.025009847979355418,0.10396451344607707,0.6844181459566073,0.1987381703470032,0.007225419732936269
Namibia,1,2,0.2599805258033106,0.2385850288407182,0.30888750776880053,0.3486038677867077,0.06311549870971371,0.0718048239534239,0.522682445759369,0.38643533123028395,0.04733270337599863
Oman,2,0,0.044303797468354424,0.32813383293895176,0.05966438781852082,0.23649244167762387,0.35927840438616937,0.1830699565659366,0.8678500986193293,0.2760252365930599,0.18200994569004192
Rwanda,1,2,0.29698149951314506,0.059487420644251124,0.5400870105655686,0.17210023796368853,0.0059570226141762665,0.06302559837353294,0.6410256410256409,0.529968454258675,0.003168876289742195
Saudi Arabia,2,0,0.06377799415774098,0.24758993651540093,0.15413300186451212,0.18934814967277835,0.36008232106824445,0.1978560207004898,0.8481262327416171,0.2854889589905363,0.18200994569004192
Slovenia,0,2,0.0029211295034079834,0.321130015858643,0.4723430702299565,0.36125233637337356,0.22582823516170783,0.02978467794104057,0.9349112426035503,0.06624605678233439,0.2211436589067377
Solomon Islands,1,2,0.12414800389483933,0.24608911856962046,0.41889372280919834,0.4664645977988215,0.009413864347099066,0.10183901672673505,0.5838264299802761,0.4873817034700315,0.01010795177962947
South Korea,0,2,0.007302823758519957,0.24658939121821394,0.31821006836544435,0.26523896119277357,0.239494818756984,0.0681083079197856,0.9467455621301774,0.012618296529968459,0.20873540837461466
Turkmenistan,2,1,0.2891918208373904,0.381162733689861,0.04288377874456184,0.25546514455762265,0.07501346560442475,0.06025321134830423,0.7061143984220909,0.26498422712933756,0.04017409729977379
